iter	Passed	Remaining
1396	30011	11923
1397	30030	11900
1398	30050	11878
1399	30069	11856
1400	30089	11833
1401	30110	11812
1402	30128	11789
1403	30143	11765
1404	30162	11742
1405	30182	11720
1406	30201	11698
1407	30221	11676
1408	30239	11653
1409	30258	11631
1410	30277	11608
1411	30297	11587
1412	30316	11564
1413	30334	11541
1414	30353	11519
1415	30371	11496
1416	30390	11474
1417	30409	11451
1418	30427	11429
1419	30447	11406
1420	30466	11384
1421	30486	11362
1422	30507	11341
1423	30525	11318
1424	30544	11296
1425	30566	11274
1426	30585	11252
1427	30603	11229
1428	30624	11208
1429	30642	11185
1430	30662	11163
1431	30681	11141
1432	30700	11118
1433	30717	11095
1434	30737	11074
1435	30756	11051
1436	30777	11030
1437	30795	11007
1438	30814	10985
1439	30834	10963
1440	30852	10940
1441	30870	10918
1442	30890	10896
1443	30910	10874
1444	30929	10852
1445	30949	10830
1446	30968	10807
1447	30990	10786
1448	31009	10764
1449	31029	10742
1450	31049	10720
1451	31067	10698
1452	31086	10675
1453	31104	10653
1454	31124	10631
1455	31142	10608
1456	31161	10586
1457	31179	10564
1458	31198	10542
1459	31218	10520
1460	31237	10498
1461	31258	10476
1462	31275	10453
1463	31293	10431
1464	31312	10408
1465	31332	10387
1466	31346	10363
1467	31365	10341
1468	31383	10318
1469	31402	10296
1470	31421	10274
1471	31441	10252
1472	31461	10230
1473	31480	10208
1474	31497	10185
1475	31515	10163
1476	31536	10142
1477	31557	10120
1478	31577	10098
1479	31598	10077
1480	31616	10054
1481	31635	10032
1482	31653	10010
1483	31673	9988
1484	31692	9966
1485	31711	9944
1486	31728	9921
1487	31747	9899
1488	31768	9878
1489	31787	9856
1490	31808	9834
1491	31828	9812
1492	31846	9790
1493	31865	9768
1494	31885	9746
1495	31903	9724
1496	31922	9702
1497	31942	9680
1498	31961	9658
1499	31980	9636
1500	31998	9614
1501	32013	9591
1502	32029	9568
1503	32051	9547
1504	32070	9525
1505	32089	9503
1506	32109	9481
1507	32129	9459
1508	32146	9437
1509	32164	9415
1510	32183	9393
1511	32202	9371
1512	32221	9349
1513	32239	9327
1514	32257	9304
1515	32276	9282
1516	32295	9260
1517	32311	9237
1518	32328	9215
1519	32347	9193
1520	32365	9171
1521	32385	9149
1522	32405	9127
1523	32423	9105
1524	32442	9083
1525	32461	9062
1526	32481	9040
1527	32497	9017
1528	32515	8995
1529	32535	8973
1530	32556	8952
1531	32576	8930
1532	32597	8909
1533	32617	8887
1534	32635	8865
1535	32654	8843
1536	32671	8821
1537	32691	8799
1538	32711	8778
1539	32729	8756
1540	32749	8734
1541	32766	8712
1542	32785	8690
1543	32803	8668
1544	32824	8646
1545	32840	8624
1546	32858	8602
1547	32876	8580
1548	32894	8558
1549	32913	8536
1550	32932	8514
1551	32950	8492
1552	32968	8470
1553	32988	8448
1554	33009	8427
1555	33029	8405
1556	33046	8383
1557	33063	8361
1558	33082	8339
1559	33100	8317
1560	33118	8295
1561	33139	8274
1562	33157	8252
1563	33178	8230
1564	33197	8209
1565	33216	8187
1566	33236	8166
1567	33258	8144
1568	33276	8122
1569	33295	8101
1570	33313	8079
1571	33331	8057
1572	33350	8035
1573	33369	8013
1574	33387	7991
1575	33407	7970
1576	33426	7948
1577	33445	7926
1578	33464	7905
1579	33483	7883
1580	33504	7862
1581	33524	7840
1582	33545	7819
1583	33565	7798
1584	33584	7776
1585	33604	7754
1586	33625	7733
1587	33643	7711
1588	33662	7690
1589	33681	7668
1590	33701	7646
1591	33719	7625
1592	33739	7603
1593	33757	7581
1594	33776	7560
1595	33795	7538
1596	33813	7516
1597	33833	7495
1598	33852	7473
1599	33871	7451
1600	33890	7430
1601	33907	7408
1602	33926	7386
1603	33943	7364
1604	33962	7342
1605	33984	7321
1606	34004	7300
1607	34024	7278
1608	34041	7256
1609	34059	7234
1610	34077	7213
1611	34097	7191
1612	34116	7170
1613	34134	7148
1614	34153	7126
1615	34172	7105
1616	34190	7083
1617	34210	7061
1618	34229	7040
1619	34248	7018
1620	34266	6997
1621	34286	6975
1622	34306	6954
1623	34326	6932
1624	34343	6910
1625	34364	6889
1626	34384	6868
1627	34404	6846
1628	34422	6825
1629	34441	6803
1630	34459	6782
1631	34478	6760
1632	34498	6739
1633	34515	6717
1634	34537	6696
1635	34555	6674
1636	34574	6652
1637	34593	6631
1638	34613	6610
1639	34631	6588
1640	34648	6566
1641	34668	6545
1642	34687	6523
1643	34708	6502
1644	34722	6480
1645	34742	6458
